emoji,english,category,subcategory,hebrew_masculine,translit_masculine,hebrew_feminine,translit_feminine
🐱,Cat,Animal,Mammal,חָתוּל,chatul,חֲתוּלָה,chatula
🐶,Dog,Animal,Mammal,כֶּלֶב,kelev,כַּלְבָּה,kalba
🐭,Mouse,Animal,Mammal,עַכְבָּר,achbar,עַכְבָּרָה,achbara
🐹,Hamster,Animal,Mammal,אוֹגֵר,oger,אוֹגֶרֶת,ogeret
🐰,Rabbit,Animal,Mammal,אַרְנָב,arnav,אַרְנֶבֶת,arnevet
🦊,Fox,Animal,Mammal,שׁוּעָל,shual,שׁוּעָלָה,shuala
🐻,Bear,Animal,Mammal,דּוֹב,dov,דֻּבָּה,duba
🐼,Panda,Animal,Mammal,,,פַּנְדָּה,panda
🐨,Koala,Animal,Mammal,,,קוֹאָלָה,koala
🐯,Tiger,Animal,Mammal,נָמֵר,namer,נְמֵרָה,nemera
🦁,Lion,Animal,Mammal,אַרְיֵה,arye,לְבִיאָה,leviya
🐮,Cow,Animal,Mammal,פָּר,par,פָּרָה,para
🐷,Pig,Animal,Mammal,חֲזִיר,chazir,חֲזִירָה,chazira
🐸,Frog,Animal,Reptile,,,צְפַרְדֵּעַ,tzefardea
🐵,Monkey,Animal,Mammal,קוֹף,kof,קוֹפָה,kofa
🐺,Wolf,Animal,Mammal,זְאֵב,zeev,זְאֵבָה,zeeva
🐴,Horse,Animal,Mammal,סוּס,sus,סוּסָה,susa
🦄,Unicorn,Animal,Mythical,,,חַד-קֶרֶן,chad-keren
🦓,Zebra,Animal,Mammal,,,זֶבְּרָה,zebra
🦍,Gorilla,Animal,Mammal,,,גּוֹרִילָּה,gorila
🐘,Elephant,Animal,Mammal,פִּיל,pil,פִּילָה,pila
🦏,Rhinoceros,Animal,Mammal,קַרְנַף,karnaf,,
🦛,Hippopotamus,Animal,Mammal,הִיפּוֹפּוֹטָם,hipopotam,,
🐪,Camel,Animal,Mammal,גָּמָל,gamal,גְּמַלָּה,gemala
🦙,Llama,Animal,Mammal,,,לָאמָה,lama
🦒,Giraffe,Animal,Mammal,,,גִּ'ירָפָה,jirafa
🐂,Ox,Animal,Mammal,שׁוֹר,shor,,
🐃,Water Buffalo,Animal,Mammal,תְּאוֹ,teo,,
🐏,Ram,Animal,Mammal,אַיִל,ayil,,
🐑,Sheep,Animal,Mammal,כֶּבֶשׂ,keves,כִּבְשָׂה,kivsa
🐐,Goat,Animal,Mammal,תַּיִשׁ,tayish,עֵז,ez
🦌,Deer,Animal,Mammal,אַיָּל,ayal,אַיָּלָה,ayala
🦘,Kangaroo,Animal,Mammal,,,קֶנְגּוּרוּ,kenguru
🦬,Bison,Animal,Mammal,בִּיזוֹן,bizon,,
🐿️,Squirrel,Animal,Mammal,סְנָאִי,senai,,
🦔,Hedgehog,Animal,Mammal,קִיפּוֹד,kipod,,
🦇,Bat,Animal,Mammal,עֲטַלֵּף,atalef,,
🐗,Boar,Animal,Mammal,חֲזִיר בָּר,chazir bar,,
🐔,Rooster,Animal,Bird,תַּרְנְגוֹל,tarngol,,
🐓,Hen,Animal,Bird,,,תַּרְנְגוֹלֶת,tarngolet
🐤,Baby Chick,Animal,Bird,אֶפְרוֹחַ,efroach,,
🐦,Bird,Animal,Bird,,,צִפּוֹר,tzipor
🐧,Penguin,Animal,Bird,פִּינְגְּוִין,pingvin,,
🦆,Duck,Animal,Bird,בַּרְוָז,barvaz,בַּרְוָזָה,barvaza
🦢,Swan,Animal,Bird,בַּרְבּוּר,barbur,בַּרְבּוּרָה,barbura
🦅,Eagle,Animal,Bird,נֶשֶׁר,nesher,,
🦉,Owl,Animal,Bird,יַנְשׁוּף,yanshuf,,
🦜,Parrot,Animal,Bird,תֻּכִּי,tuki,,
🦃,Turkey,Animal,Bird,,,תַּרְנְגוֹל הוֹדוּ,tarngol hodu
🐢,Turtle,Animal,Reptile,צָב,tzav,צָבָה,tzava
🐍,Snake,Animal,Reptile,נָחָשׁ,nachash,,
🦎,Lizard,Animal,Reptile,,,לְטָאָה,letaa
🐊,Crocodile,Animal,Reptile,תַּנִּין,tanin,,
🦖,T-Rex,Animal,Reptile,דִּינוֹזָאוּר,dinozaur,,
🐟,Fish,Animal,Sea Creature,דָּג,dag,דָּגָה,daga
🐠,Tropical Fish,Animal,Sea Creature,דָּג טְרוֹפִּי,dag teropi,,
🐡,Pufferfish,Animal,Sea Creature,דָּג נָפוּחַ,dag nafuach,,
🐬,Dolphin,Animal,Sea Creature,דּוֹלְפִין,dolfin,,
🐳,Whale,Animal,Sea Creature,לִוְיָתָן,livyatan,,
🦈,Shark,Animal,Sea Creature,כָּרִישׁ,karish,,
🐙,Octopus,Animal,Sea Creature,תַּמְנוּן,tamnun,,
🦑,Squid,Animal,Sea Creature,דְּיוֹנוּן,deyonun,,
🦞,Lobster,Animal,Sea Creature,לוֹבְּסְטֵר,lobster,,
🦀,Crab,Animal,Sea Creature,סַרְטָן,sartan,,
🦭,Seal,Animal,Sea Creature,,,כֶּלֶב יָם,kelev yam
🐝,Bee,Animal,Insect,,,דְּבוֹרָה,dvora
🐛,Caterpillar,Animal,Insect,זַחַל,zachal,,
🦋,Butterfly,Animal,Insect,פַּרְפַּר,parpar,,
🐌,Snail,Animal,Insect,שַׁבְּלוּל,shablul,,
🐞,Ladybug,Animal,Insect,,,פָּרַת מֹשֶׁה רַבֵּנוּ,parat moshe rabenu
🐜,Ant,Animal,Insect,,,נְמָלָה,nemala
🦗,Cricket,Animal,Insect,צְרָצַר,tzeratzar,,
🦟,Mosquito,Animal,Insect,יַתּוּשׁ,yatush,,
🪰,Fly,Animal,Insect,,,זְבוּב,zevuv
🪱,Worm,Animal,Insect,,,תּוֹלַעַת,tolaat
🕷️,Spider,Animal,Insect,עַכָּבִישׁ,akavish,,
🦂,Scorpion,Animal,Insect,עַקְרָב,akrav,,
🍎,Apple,Food,Fruit,תַּפּוּחַ,tapuach,,
🍏,Green Apple,Food,Fruit,תַּפּוּחַ יָרוֹק,tapuach yarok,,
🍐,Pear,Food,Fruit,אֲגָס,agas,,
🍊,Orange,Food,Fruit,תַּפּוּז,tapuz,,
🍋,Lemon,Food,Fruit,לִימוֹן,limon,,
